"Datafile_ID","time_bin","Block","Trial","Type","pre_post_counter","startle_number","Well","distance","activity","Individual_ID","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
"W042",10,"1",7,"STARTLE",0,1,"A2",0,0,"W042_A2",2022-06-16,842,6,"M","Habituation","W042","GM","F","GM-F","A2",NA,"keep","keep"
"W042",12,"1",9,"STARTLE",0,2,"A2",0,0,"W042_A2",2022-06-16,842,6,"M","Habituation","W042","GM","F","GM-F","A2",NA,"keep","keep"
"W042",14,"1",11,"STARTLE",0,3,"A2",0,0,"W042_A2",2022-06-16,842,6,"M","Habituation","W042","GM","F","GM-F","A2",NA,"keep","keep"
"W048",10,"1",7,"STARTLE",0,1,"A2",0,0,"W048_A2",2022-06-16,968,6,"A","Habituation","W048","I","M","I-M","A2",NA,"keep","keep"
"W048",12,"1",9,"STARTLE",0,2,"A2",0,0,"W048_A2",2022-06-16,968,6,"A","Habituation","W048","I","M","I-M","A2",NA,"keep","keep"
"W048",14,"1",11,"STARTLE",0,3,"A2",0,0,"W048_A2",2022-06-16,968,6,"A","Habituation","W048","I","M","I-M","A2",NA,"keep","keep"
"W046",10,"1",7,"STARTLE",0,1,"A2",0,0,"W046_A2",2022-06-16,926,6,"A","Habituation","W046","I","F","I-F","A2",NA,"keep","keep"
"W046",12,"1",9,"STARTLE",0,2,"A2",0,0,"W046_A2",2022-06-16,926,6,"A","Habituation","W046","I","F","I-F","A2",NA,"keep","keep"
"W046",14,"1",11,"STARTLE",0,3,"A2",0,0,"W046_A2",2022-06-16,926,6,"A","Habituation","W046","I","F","I-F","A2",NA,"keep","keep"
"W002",10,"1",7,"STARTLE",0,1,"A2",5.1,0.002,"W002_A2",2022-05-31,44,1,"M","Habituation","W002","GS","F","GS-F","A2","Ran at 30 - exclude","exclude","exclude"
"W002",12,"1",9,"STARTLE",0,2,"A2",1.5,0.001,"W002_A2",2022-05-31,44,1,"M","Habituation","W002","GS","F","GS-F","A2","Ran at 30 - exclude","exclude","exclude"
"W002",14,"1",11,"STARTLE",0,3,"A2",1.9,0.002,"W002_A2",2022-05-31,44,1,"M","Habituation","W002","GS","F","GS-F","A2","Ran at 30 - exclude","exclude","exclude"
"W004",10,"1",7,"STARTLE",0,1,"A3",0,0,"W004_A3",2022-05-31,3,1,"M","Habituation","W004","GS","F","GS-F","A3",NA,"keep","keep"
"W004",12,"1",9,"STARTLE",0,2,"A3",0,0,"W004_A3",2022-05-31,3,1,"M","Habituation","W004","GS","F","GS-F","A3",NA,"keep","keep"
"W004",14,"1",11,"STARTLE",0,3,"A3",0,0,"W004_A3",2022-05-31,3,1,"M","Habituation","W004","GS","F","GS-F","A3",NA,"keep","keep"
"W008",10,"1",7,"STARTLE",0,1,"A3",7.9,0.043,"W008_A3",2022-05-31,129,1,"A","Habituation","W008","I","F","I-F","A3",NA,"keep","keep"
"W008",12,"1",9,"STARTLE",0,2,"A3",10.7,0.209,"W008_A3",2022-05-31,129,1,"A","Habituation","W008","I","F","I-F","A3",NA,"keep","keep"
"W008",14,"1",11,"STARTLE",0,3,"A3",6,0.034,"W008_A3",2022-05-31,129,1,"A","Habituation","W008","I","F","I-F","A3",NA,"keep","keep"
"W006",10,"1",7,"STARTLE",0,1,"A3",0,0,"W006_A3",2022-05-31,87,1,"A","Habituation","W006","I","F","I-F","A3",NA,"keep","keep"
"W006",12,"1",9,"STARTLE",0,2,"A3",0,0,"W006_A3",2022-05-31,87,1,"A","Habituation","W006","I","F","I-F","A3",NA,"keep","keep"
"W006",14,"1",11,"STARTLE",0,3,"A3",0,0,"W006_A3",2022-05-31,87,1,"A","Habituation","W006","I","F","I-F","A3",NA,"keep","keep"
"W012",10,"1",7,"STARTLE",0,1,"A3",0,0,"W012_A3",2022-06-01,213,1,"M","Habituation","W012","I","M","I-M","A3",NA,"keep","keep"
"W012",12,"1",9,"STARTLE",0,2,"A3",0,0,"W012_A3",2022-06-01,213,1,"M","Habituation","W012","I","M","I-M","A3",NA,"keep","keep"
"W012",14,"1",11,"STARTLE",0,3,"A3",0,0,"W012_A3",2022-06-01,213,1,"M","Habituation","W012","I","M","I-M","A3",NA,"keep","keep"
"W010",10,"1",7,"STARTLE",0,1,"A3",0,0,"W010_A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W010",12,"1",9,"STARTLE",0,2,"A3",0,0,"W010_A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W010",14,"1",11,"STARTLE",0,3,"A3",0,0,"W010_A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
